parent_company,subsidiary_company,ownership_percentage,relationship_type,jurisdiction,registration_date,source,description
Berkshire Hathaway Inc,GEICO Corporation,100.0,owns,USA,1996-08-25,https://www.sec.gov/edgar,Complete acquisition of auto insurance company providing direct-to-consumer coverage
Berkshire Hathaway Inc,BNSF Railway Company,100.0,owns,USA,2010-02-12,https://www.sec.gov/edgar,Acquisition of major freight railroad for transportation and logistics expansion
Berkshire Hathaway Inc,Berkshire Hathaway Energy,91.1,owns,USA,2000-03-14,https://www.berkshirehathaway.com/2024ar/2024ar.pdf,Majority ownership in utility holding company with renewable energy focus
Berkshire Hathaway Energy,PacifiCorp,100.0,owns,USA,2005-06-09,https://www.berkshirehathaway.com/2024ar/2024ar.pdf,Utility subsidiary providing electricity to western US states
Berkshire Hathaway Energy,MidAmerican Energy Company,100.0,owns,USA,1999-12-31,https://www.berkshirehathaway.com/2024ar/2024ar.pdf,Electric and gas utility serving Iowa and surrounding regions
Deutsche Telekom AG,T-Mobile US Inc,51.4,owns,USA,2020-04-01,https://www.telekom.com/en/media/,Majority control of merged wireless carrier following Sprint acquisition - increased stake from 43%
SoftBank Group Corp,T-Mobile US Inc,24.0,owns,USA,2020-04-01,https://group.softbank/en/ir/,Remaining stake from Sprint-T-Mobile merger creating major US wireless carrier
Alphabet Inc,Google LLC,100.0,owns,USA,2015-08-10,https://www.sec.gov/edgar,Reorganization creating parent company structure for Google's core business
Alphabet Inc,YouTube LLC,100.0,owns,USA,2006-10-09,https://www.sec.gov/edgar,Video platform subsidiary acquired to expand digital advertising reach
Alphabet Inc,Waymo LLC,100.0,owns,USA,2016-12-13,https://www.sec.gov/edgar,Autonomous vehicle technology subsidiary spun out from Google X division
Meta Platforms Inc,Instagram LLC,100.0,owns,USA,2012-04-09,https://www.sec.gov/edgar,Social media platform acquisition to expand user base and mobile presence
Meta Platforms Inc,WhatsApp Inc,100.0,owns,USA,2014-10-06,https://www.sec.gov/edgar,Messaging application acquired for global communication market expansion
SoftBank Group Corp,SoftBank Corp,40.7,owns,Japan,1996-07-01,https://group.softbank/en/ir/,Telecommunications subsidiary providing mobile and broadband services in Japan
SoftBank Group Corp,Arm Holdings plc,90.0,owns,UK,2016-09-05,https://group.softbank/en/ir/,Semiconductor chip design company retained majority stake after 2023 IPO
Toyota Motor Corporation,Daihatsu Motor Co Ltd,100.0,owns,Japan,2016-08-01,https://global.toyota/en/detail/11038357,Complete acquisition of compact car manufacturer through share exchange
Toyota Motor Corporation,Lexus Division,100.0,owns,Japan,1989-01-01,https://global.toyota/en/company/,Luxury vehicle division created for premium market segment
Toyota Motor Corporation,Hino Motors Ltd,50.1,owns,Japan,2001-01-01,https://global.toyota/en/company/,Commercial vehicle subsidiary specializing in trucks and buses
Toyota Motor Corporation,Subaru Corporation,20.0,owns,Japan,2019-01-01,https://global.toyota/en/company/,Strategic partnership stake in all-wheel drive vehicle manufacturer
Toyota Motor Corporation,Mazda Motor Corporation,5.1,owns,Japan,2017-08-04,https://global.toyota/en/company/,Cross-shareholding partnership for technology and market collaboration
ASML Holding N.V.,ASML Netherlands B.V.,100.0,owns,Netherlands,1984-01-01,https://www.asml.com/en/company/,Operating subsidiary for lithography equipment manufacturing and development
Philips N.V.,ASML Holding N.V.,0.0,founded,Netherlands,1984-01-01,https://en.wikipedia.org/wiki/ASML_Holding,Historical co-founder of joint venture - no longer holds ownership stake
Unilever PLC,Ben & Jerry's Homemade Inc,100.0,owns,Netherlands,2000-04-12,https://www.unilever.com/brands/ice-cream/ben-jerrys/,Ice cream brand acquired with independent board structure for social mission
Unilever PLC,Dove Beauty Brand,100.0,owns,Netherlands,1957-01-01,https://www.unilever.com/brands/,Personal care brand focused on beauty and self-esteem messaging
Unilever PLC,Hellmann's Brand,100.0,owns,Netherlands,2000-09-01,https://www.unilever.com/brands/,Mayonnaise and condiment brand acquired as part of Bestfoods acquisition
Unilever PLC,Magnum Ice Cream Brand,100.0,owns,Netherlands,1989-01-01,https://www.unilever.com/brands/,Premium ice cream brand for indulgent dessert market segment
Samsung Group,Samsung Electronics Co Ltd,20.7,owns,South Korea,1969-01-01,https://www.samsung.com/global/ir/,Electronics manufacturing subsidiary within larger conglomerate structure
Samsung Electronics Co Ltd,Samsung Display Co Ltd,84.8,owns,South Korea,2012-04-01,https://www.samsung.com/,Display panel manufacturing subsidiary for screens and OLED technology
JPMorgan Chase & Co,Chase Bank USA,100.0,owns,USA,2004-07-01,https://www.sec.gov/edgar,Consumer banking subsidiary providing retail financial services nationwide
JPMorgan Chase & Co,J.P. Morgan Securities LLC,100.0,owns,USA,1999-05-01,https://www.sec.gov/edgar,Investment banking and securities trading subsidiary for institutional clients
Apple Inc,Beats Electronics LLC,100.0,owns,USA,2014-05-28,https://www.sec.gov/edgar,Audio technology acquisition to enhance music streaming and hardware offerings
Amazon.com Inc,Whole Foods Market Inc,100.0,owns,USA,2017-08-28,https://www.sec.gov/edgar,Grocery chain acquisition to expand into physical retail and food delivery
Amazon.com Inc,Ring LLC,100.0,owns,USA,2018-02-27,https://www.sec.gov/edgar,Smart home security company acquired to strengthen IoT and home automation portfolio
Volkswagen AG,Audi AG,99.6,owns,Germany,1965-01-01,https://www.volkswagen-group.com/,Premium automotive brand offering luxury vehicles and advanced technology
Volkswagen AG,Porsche AG,75.0,owns,Germany,2012-08-01,https://www.volkswagen-group.com/,Sports car manufacturer with partial public ownership structure
Microsoft Corporation,LinkedIn Corporation,100.0,owns,USA,2016-06-13,https://www.sec.gov/edgar,Professional networking platform acquired to enhance business software ecosystem
Microsoft Corporation,GitHub Inc,100.0,owns,USA,2018-10-26,https://www.sec.gov/edgar,Software development platform supporting cloud computing and developer tools strategy
Nestlé S.A.,Nespresso S.A.,100.0,owns,Switzerland,1986-01-01,https://www.nestle.com/,Premium coffee subsidiary targeting upscale consumer market segment
Nestlé S.A.,Purina PetCare,100.0,owns,Switzerland,2001-07-01,https://www.nestle.com/,Pet food division acquired to expand into animal nutrition market
The Walt Disney Company,Pixar Animation Studios,100.0,owns,USA,2006-05-05,https://www.sec.gov/edgar,Animation studio acquisition to enhance creative content production capabilities
The Walt Disney Company,Marvel Entertainment LLC,100.0,owns,USA,2009-12-31,https://www.sec.gov/edgar,Entertainment franchise acquired to expand intellectual property portfolio
Comcast Corporation,NBCUniversal Media LLC,100.0,owns,USA,2011-01-28,https://www.sec.gov/edgar,Media conglomerate providing content production and distribution synergies
Comcast Corporation,Universal Studios Inc,100.0,owns,USA,2004-05-12,https://www.sec.gov/edgar,Theme park and entertainment subsidiary complementing media content strategy
Johnson & Johnson,Janssen Pharmaceuticals Inc,100.0,owns,USA,1961-01-01,https://www.sec.gov/edgar,Pharmaceutical subsidiary focused on prescription drug development and commercialization
LVMH Moët Hennessy Louis Vuitton,Louis Vuitton S.A.,100.0,owns,France,1987-01-01,https://www.lvmh.com/,Luxury leather goods brand within diversified luxury conglomerate
LVMH Moët Hennessy Louis Vuitton,Moët & Chandon S.A.,100.0,owns,France,1987-01-01,https://www.lvmh.com/,Champagne and spirits division for premium alcoholic beverages
LVMH Moët Hennessy Louis Vuitton,Tiffany & Co,100.0,owns,France,2021-01-07,https://www.lvmh.com/,American luxury jewelry acquisition to expand high-end accessories portfolio
Tencent Holdings Ltd,WeChat/Weixin,100.0,owns,China,2011-01-21,https://www.tencent.com/,Super-app messaging platform for social media and digital payments in China
Tencent Holdings Ltd,Riot Games Inc,100.0,owns,China,2015-12-01,https://www.tencent.com/,Video game developer acquired for global gaming market expansion
Alibaba Group Holding Ltd,Taobao Marketplace,100.0,owns,China,2003-05-10,https://www.alibabagroup.com/,Consumer-to-consumer e-commerce platform for Chinese online retail market
Alibaba Group Holding Ltd,Alipay/Ant Group,33.0,owns,China,2004-02-01,https://www.alibabagroup.com/,Digital payments affiliate providing financial services technology
Royal Dutch Shell plc,Shell Trading International Ltd,100.0,owns,Netherlands,1907-01-01,https://www.shell.com/,Energy trading subsidiary for global oil and gas commodity markets
Royal Dutch Shell plc,Shell New Energies,100.0,owns,Netherlands,2016-01-01,https://www.shell.com/,Renewable energy division for transition to sustainable energy sources
Roche Holding AG,Genentech Inc,100.0,owns,Switzerland,2009-03-26,https://www.roche.com/,Biotechnology subsidiary acquired for cancer and immunology drug development
Siemens AG,Siemens Healthineers AG,75.0,owns,Germany,2018-03-16,https://www.siemens.com/,Medical technology subsidiary spun off with partial public ownership structure
Siemens AG,Siemens Energy AG,35.1,owns,Germany,2020-09-28,https://www.siemens.com/,Energy technology spin-off for power generation and transmission equipment
SoftBank Group Corp,Alibaba Group Holding Ltd,3.4,investment,Japan,2000-01-20,https://group.softbank/en/ir/,Early strategic investment in Chinese e-commerce giant
Berkshire Hathaway Inc,Apple Inc,5.4,investment,USA,2016-05-01,https://www.sec.gov/edgar,Major equity stake in technology company for portfolio diversification
Microsoft Corporation,Apple Inc,0.0,partnership,USA,2019-03-01,https://www.microsoft.com/,Cross-licensing agreement and strategic technology partnership
Toyota Motor Corporation,Tesla Inc,0.0,partnership,Japan,2010-05-20,https://global.toyota/en/company/,Joint venture for electric vehicle development and manufacturing
Samsung Electronics Co Ltd,Apple Inc,0.0,supplier,South Korea,2007-01-01,https://www.samsung.com/,Display and component supplier for iPhone and iPad manufacturing
ASML Holding N.V.,Samsung Electronics Co Ltd,0.0,supplier,Netherlands,2005-01-01,https://www.asml.com/,Lithography equipment supplier for semiconductor manufacturing
ASML Holding N.V.,TSMC Taiwan Semiconductor,0.0,supplier,Netherlands,2000-01-01,https://www.asml.com/,EUV lithography systems for advanced chip production
Apple Inc,TSMC Taiwan Semiconductor,0.0,supplier,USA,2014-01-01,https://www.apple.com/,Chip manufacturing partnership for A-series processors
Volkswagen AG,Microsoft Corporation,0.0,partnership,Germany,2021-02-01,https://www.volkswagen-group.com/,Cloud computing and AI partnership for automotive software
Siemens AG,Microsoft Corporation,0.0,partnership,Germany,2019-04-01,https://www.siemens.com/,Industrial IoT and cloud platform collaboration
Unilever PLC,Amazon.com Inc,0.0,partnership,Netherlands,2018-01-01,https://www.unilever.com/,E-commerce and supply chain optimization partnership
JPMorgan Chase & Co,Amazon.com Inc,0.0,partnership,USA,2017-01-01,https://www.jpmorganchase.com/,Financial services integration for Amazon Pay platform
Berkshire Hathaway Inc,Amazon.com Inc,0.6,investment,USA,2019-02-15,https://www.sec.gov/edgar,Small but significant investment in e-commerce leader
Tencent Holdings Ltd,Tesla Inc,5.0,investment,China,2017-03-28,https://www.tencent.com/,Strategic investment in electric vehicle and autonomous driving technology
Alibaba Group Holding Ltd,Toyota Motor Corporation,0.0,partnership,China,2018-04-01,https://www.alibabagroup.com/,Connected car services and mobility platform development
SoftBank Group Corp,Uber Technologies Inc,16.0,investment,Japan,2016-01-01,https://group.softbank/en/ir/,Major investment in ride-sharing platform through Vision Fund
SoftBank Group Corp,WeWork Inc,29.0,investment,Japan,2017-01-01,https://group.softbank/en/ir/,Significant investment in flexible workspace provider
Apple Inc,Samsung Electronics Co Ltd,0.0,supplier,USA,2007-01-01,https://www.apple.com/,Memory and display component supply agreement despite competition
Deutsche Telekom AG,Huawei Technologies Co Ltd,0.0,supplier,Germany,2005-01-01,https://www.telekom.com/,Network infrastructure and 5G equipment partnership
Samsung Electronics Co Ltd,ASML Holding N.V.,0.0,customer,South Korea,2005-01-01,https://www.samsung.com/,Semiconductor manufacturing equipment procurement
TSMC Taiwan Semiconductor,ASML Holding N.V.,0.0,customer,Taiwan,2000-01-01,https://www.tsmc.com/,Advanced lithography systems for leading-edge chip production
Meta Platforms Inc,TSMC Taiwan Semiconductor,0.0,supplier,USA,2021-01-01,https://www.meta.com/,Custom AI chip manufacturing for data center infrastructure
Alphabet Inc,TSMC Taiwan Semiconductor,0.0,supplier,USA,2018-01-01,https://www.alphabet.com/,TPU and AI processor manufacturing partnership
Amazon.com Inc,TSMC Taiwan Semiconductor,0.0,supplier,USA,2019-01-01,https://www.amazon.com/,Custom AWS chip manufacturing for cloud computing
Tencent Holdings Ltd,ASML Holding N.V.,0.0,investor,China,2021-01-01,https://www.tencent.com/,Small equity stake through technology investment fund
Royal Dutch Shell plc,Microsoft Corporation,0.0,partnership,Netherlands,2020-01-01,https://www.shell.com/,Digital transformation and cloud computing services agreement
Nestlé S.A.,Amazon.com Inc,0.0,partnership,Switzerland,2019-01-01,https://www.nestle.com/,E-commerce platform and direct-to-consumer sales collaboration
Johnson & Johnson,Microsoft Corporation,0.0,partnership,USA,2018-01-01,https://www.jnj.com/,Healthcare cloud computing and AI research collaboration
LVMH Moët Hennessy Louis Vuitton,Tencent Holdings Ltd,0.0,partnership,France,2020-01-01,https://www.lvmh.com/,Digital marketing and e-commerce expansion in Chinese luxury market
Toyota Motor Corporation,SoftBank Group Corp,0.0,partnership,Japan,2018-10-01,https://global.toyota/en/company/,Autonomous driving and mobility services joint venture
Siemens AG,Alibaba Group Holding Ltd,0.0,partnership,Germany,2019-01-01,https://www.siemens.com/,Industrial IoT and smart manufacturing solutions for Chinese market
Roche Holding AG,Amazon.com Inc,0.0,partnership,Switzerland,2020-01-01,https://www.roche.com/,Cloud infrastructure for genomic research and drug discovery
